row_no	review_status	review_focus	review_question	zaza_lerch	kurmanji_lerch	german	english	turkish	notes
1	not_flagged			Aláh ńe merén’u.	Xodê nämire.	Gott stirbt nicht.	God does not die.	Allah ölmez.	
2	not_flagged			Mē̱rdṳ́m é̱meri yai qílmu.	Merü sal pur tenâre.	Der Mensch lebt nicht lange.	A human being's life is short.	İnsanın ömrü kısadır.	"Zaza phrasing appears literally to use ""his life is short."""
3	not_flagged			Daíke eílāne (eílekāni) χóe zāf sinén’a.	Diâ külfetân ž wan haz dikê.	Die Mutter liebt ihre Kinder.	The mother loves her children.	Anne çocuklarını sever.	Russian and German witnesses read `χóe`, not gamma.
4	not_flagged			T̮íd̮e̱ yai zāf šid é̱stu.	De memkî wêda šîr pur heiye.	Sie hat viel Milch in den Brüsten.	She has much milk in her breasts.	Göğüslerinde çok süt vardır.	User review note confirmed `zāf`; `é̱stu` has acute plus line below.
5	not_flagged			Myẹ̄́rde yai h̔as kén’u.	Mêrî wi že haz dikê.	Ihr Mann liebt sie.	Her husband loves her.	Kocası onu sever.	
6	not_flagged			Ā́ya d̮éni hé̱mle̱ya.	Va žinka be hâmile.	"Diese Frau war schwanger (in der Uebers.: ""ist schw."")."	This woman is pregnant.	Bu kadın hamiledir.	"German prompt says ""was pregnant,"" but the Zaza sentence corresponds to ""is pregnant""; Russian has a typo fixed in German: Ā́ja -> Ā́ya."
7	not_flagged			Še̱š rṓd̮e yau lād̮ ārd.	De şeş ruânda laukik weledând.	Vor sechs Tagen hat sie einen Sohn geboren.	Six days ago she gave birth to a son.	Altı gün önce bir oğul doğurdu.	
8	not_flagged			Dáh̔a ńe wé̱ša.	Dâha nexôše.	Sie ist noch krank.	She is still sick.	Hâlâ hastadır.	
9	not_flagged			Keína yai h̔e̱t rúeništa bermén’a.	Qiza wi ledern rüništie digrî.	Ihre Tochter sitzt bei ihr und weint.	Her daughter sits beside her and cries.	Kızı yanında oturur ve ağlar.	Marked `h` follows the Lerch `h̔` review-bucket convention rather than `ḫ`.
10	not_flagged			Lā́d̮e t̮íd̮e ńe wén’u.	Külfet ṭṭikân nägre.	Das Kind will nicht saugen.	The child does not want to suckle.	Çocuk emmek istemez.	
11	not_flagged			Keína hé̱m’a pai ńe šuén’a.	Ketik dâha nägere.	Das Mädchen kann noch nicht gehen.	The girl cannot yet walk.	Kız henüz yürüyemez.	
12	not_flagged			Yau sé̱re di̥ ā́šme bía.	Sâlik u du mêhin weledâüde.	Sie ist vor einem Jahre und zwei Monaten geboren.	She was born one year and two months ago.	Bir yıl iki ay önce doğdu.	
13	not_flagged			Ḗ̱n’ie t̮ehér hé̱m’e lā́d̮i wé̱ši.	Va her ṭâr laukana yöšin.	Diese vier Knaben sind alle gesund.	These four boys are all healthy.	Bu dört oğlanın hepsi sağlıklıdır.	
14	not_flagged			Yau ve̱rī́e vāz dāmu, aúe díene perén’u (kai kén’u), aúe h̔irī́ne lauk vā́nu, aúe t̮eherī́ne h̔o̤wén’u.	Eyêk debêze, edudûân röe xöl dikê, esêsiân dîstere, eṭârân deckên'e.	Der erste läuft, der zweite springt, der dritte singt, der vierte lacht.	The first runs, the second jumps, the third sings, the fourth laughs.	Birincisi koşar, ikincisi zıplar, üçüncüsü şarkı söyler, dördüncüsü güler.	Printed line break divides `t̮e-heríne`; joined here as one word.
15	not_flagged			Ḗ̱n’oe me̱rdúm t̮i̥mi yai (d̮ai) kṓri.	Va merüa kü'ire.	Dieser Mann ist blind.	This man is blind.	Bu adam kördür.	
16	not_flagged			D̮éniai yai (d̮ai) ké̱ra.	Žina wi kêre.	Seine Frau ist taub.	His wife is deaf.	Karısı sağırdır.	
17	not_flagged			Vé̱ngi me̱ (Sé̱ki ma vā́d̮i) ńéšna wén’a.	Ek em debêžin näbiste.	Sie hört nicht, dass wir reden.	She does not hear that we are speaking.	Konuştuğumuzu duymaz.	Likely error in the original transcription: `???na w?n?a` probably represents one word, `???naw?n?a` (?-??naw-?n-a = neg-hear-IPFV-3SG.F).
18	not_flagged			Beraí tú’e pṳ́reš neiyén’u.	Berâ'i te deckûl'e.	Dein Bruder niest.	Your brother sneezes.	Erkek kardeşin hapşırıyor.	
19	not_flagged			Wai tú’e rā kaúta.	H'o'ênga te rä ket.	"Deine Schwester schläft (in d. Uebers. ""schlief."")."	"Your sister is sleeping (in the translation: ""slept"")."	"Kız kardeşin uyuyor (çeviride: ""uyuyordu"")."	
20	not_flagged			Baúki ši̥má h̔ayaú rú’eništu.	Bâve wan ipâye.	Euer Vater ist wach.	Your father is awake.	Babanız uyanıktır.	
21	not_flagged			Tā́neki wén’u.	Hindîk doxû'e vedoxû'e.	Er isst und trinkt (sehr) wenig.	He eats and drinks very little.	Çok az yer ve içer.	
22	not_flagged			Ziṅd̮ h̔a myā́ne súrotide.	Bivîl de nâv rüdaye.	Die Nase ist in der Mitte des Gesichts.	The nose is in the middle of the face.	Burun yüzün ortasındadır.	
23	not_flagged			Di̥ língi mā é̱sti, hérgu dé̱sti mā́de pāṅd̮ ingíšti é̱sti.	Her merüki du lingi (ningî) wi hênin, her destki pend bêṭi wi hênin.	Wir haben zwei Füsse und an jeder Hand fünf Finger.	We have two feet and five fingers on each hand.	İki ayağımız ve her elde beş parmağımız vardır.	
24	not_flagged			Γí̥ži̥k sé̱rede yén’u.	Pör lešer seri hefsîn debê.	Die Haare wachsen auf dem Kopfe.	Hair grows on the head.	Saç başta çıkar.	
25	not_flagged			Dendā́ni zuā́ṅ h̔a fé̱kde.	Zemân dedân de dêvdanin.	Die Zunge und die Zähne sind in dem Munde.	The tongue and the teeth are in the mouth.	Dil ve dişler ağızdadır.	
26	not_flagged			Dé̱stu rā́št qóatu sei dé̱sti t̮é̱pi.	Pie râste ž pie ṭepe xûrtere.	Der rechte Arm ist stärker als der linke.	The right arm is stronger than the left.	Sağ kol soldan daha güçlüdür.	"Dest is literally ""hand"" but it may have also been used for arm, hence the German gloss."
27	not_flagged			Yau múye dé̱rga bāryéka.	Pürtik derêže zerâve.	Ein Haar ist lang und dünn.	A hair is long and thin.	Bir kıl uzun ve incedir.	
28	not_flagged			Gṓ’eni sū́ra.	Xu'în sôre.	Das Blut ist roth.	Blood is red.	Kan kırmızıdır.	
29	not_flagged			Éstei sei ké̱ri sā́γí.	Hästîân fêni kêvrân hẹškin.	Die Knochen sind hart wie Stein.	Bones are hard like stone.	Kemikler taş gibi serttir.	
30	not_flagged			Māsé̱de t̮ími é̱sti, gṓšye t̮íni.	De mâsida ṭav heiye, gôh tun'e.	Der Fisch hat Augen, aber keine Ohren.	The fish has eyes, but no ears.	Balığın gözleri vardır ama kulakları yoktur.	
31	not_flagged			Ḗ̱n’oe teir hyedíki ferén’u.	Va teira defer'e.	Dieser Vogel fliegt langsam.	This bird flies slowly.	Bu kuş yavaş uçar.	
32	not_flagged			Nišén’u ā́rdda.	Lešer ârdeda ṭe.	Er lässt sich zur Erde nieder.	It comes down to the ground.	Yere iner.	
