row_id	entry_id	source_page	raw_lerch_headword	corrected_lerch_headword	corrected_headword_source	modern_zazaki_guess	proposed_group_headword	group_source	german_gloss_raw	german_gloss_clean	english_gloss	english_gloss_source	turkish_gloss	turkish_gloss_source	existing_parent	entry_review_status	correction_confidence	notes
1	lerch_glossary_p197_r0001:entry	197	ainü	ainü	raw_extraction	aynü	ainü	self	(türk. aJLjJ ), Spiegel,	(türk. aJLjJ ), Spiegel,						ocr_extracted	low	
2	lerch_glossary_p197_r0002:entry	197	aüka	aüka	raw_extraction	awka	aüka	self	Wasser, Quelle, Bach. Vgl. Krm. av. aüka devi, Bier,	Wasser, Quelle, Bach. Vgl. Krm. av. aüka devi, Bier,	water; spring; stream; source	rule_guess_from_german	su; kaynak; dere; pınar	rule_guess_from_german		ocr_extracted	low	
3	lerch_glossary_p197_r0003:entry	197	aüdara	aúdara	text_form_match	awdara	aúdara	self	sogleich, 50.i.	sogleich, 50. i.	immediately	rule_guess_from_german	hemen	rule_guess_from_german		ocr_extracted	medium	text examples: uc-kardes-masali:tb02_l01
4	lerch_glossary_p197_r0004:entry	197	äunün’a	äunün’a	raw_extraction	awnüna	äunün-	verb_present_stem_guess	(ich) sehe. aund, aunä, sah, 50.i; 51.8; 64.8. aunal, sahen, 49.6. baüni, sieh, schau zu, seht, 63.9; 78.1.	(ich) sehe. aund, aunä, sah, 50. i; 51. 8; 64. 8. aunal, sahen, 49. 6. baüni, sieh, schau zu, seht, 63. 9; 78. 1.	see	rule_guess_from_german	görmek	rule_guess_from_german		ocr_extracted	low	
5	lerch_glossary_p197_r0005:entry	197	aunaürike	aunaürike	raw_extraction	awnawrikê	aunaürike	self	Schakal.	Schakal.	jackal	rule_guess_from_german	çakal	rule_guess_from_german		ocr_extracted	low	
6	lerch_glossary_p197_r0006:entry	197	Ahmed	Ah̔méd	text_form_match	A'hmêd	Ah̔méd	self	Personenname,	Personenname,	personal name	rule_guess_from_german	kişi adı	rule_guess_from_german		ocr_extracted	medium	text examples: ali-agha-ladi-kelhani:a03_l01; ali-agha-ladi-kelhani:a03_l14; ali-agha-ladi-kelhani:a04_l04
7	lerch_glossary_p197_r0007:entry	197	dqjl	dqjl	raw_extraction	dqjl	dqjl	self	Verstand. Vgl. Krm. äqjl.	Verstand. Vgl. Krm. äqjl.	understanding; reason	rule_guess_from_german	akıl; anlayış	rule_guess_from_german		ocr_extracted	low	
8	lerch_glossary_p197_r0008:entry	197	akün’a	akün’a	raw_extraction	aküna	ken’a	see_reference	(ich) ölTne; s. ken’a. akerd, akürd, öffnete, 51.8; 65.10. akürdau, ist offen,	(ich) ölTne; s. ken’a. akerd, akürd, öffnete, 51. 8; 65. 10. akürdau, ist offen,	open	rule_guess_from_german	açmak	rule_guess_from_german		ocr_extracted	low	
9	lerch_glossary_p197_r0009:entry	197	ageira	ageíra	text_form_match	agêyra	ageíra	self	ageral, ging, war im Ge- hen begriffen, 71.8. agerai digerai, ging hin und her, 85.13.	ageral, ging, war im Ge- hen begriffen, 71. 8. agerai digerai, ging hin und her, 85. 13.	go	rule_guess_from_german	gitmek	rule_guess_from_german		ocr_extracted	medium	text examples: kauge-nyerib-u-hyeni:h01_l02
10	lerch_glossary_p197_r0010:entry	197	ayä	áya	text_form_match	aya	ağa, axa	existing_parent	Agha	Agha	agha; notable; lord	manual_override	ağa	manual_override	ağa, axa	headword_parented	medium	text examples: degirmenci-ve-tilki:mf01_l03; uc-kardes-masali:tb06_l05; uc-kardes-masali:tb09_l01
