row_id	entry_id	source_page	entry_lerch	entry_modern_zazaki_guess	parent_headword	definition_de	definition_en	definition_tr	entry_review_status	conversion_confidence	conversion_notes
1	lerch_glossary_p197_r0001:entry	197	ainü	aynü		(türk. aJLjJ ), Spiegel,			ocr_extracted	low	source row is still OCR-level
2	lerch_glossary_p197_r0002:entry	197	aüka	awka		Wasser, Quelle, Bach. Vgl. Krm. av. aüka devi, Bier,			ocr_extracted	low	source row is still OCR-level
3	lerch_glossary_p197_r0003:entry	197	aüdara	awdara		sogleich, 50.i.			ocr_extracted	low	source row is still OCR-level
4	lerch_glossary_p197_r0004:entry	197	äunün’a	awnüna		(ich) sehe. aund, aunä, sah, 50.i; 51.8; 64.8. aunal, sahen, 49.6. baüni, sieh, schau zu, seht, 63.9; 78.1.			ocr_extracted	low	source row is still OCR-level
5	lerch_glossary_p197_r0005:entry	197	aunaürike	awnawrikê		Schakal.			ocr_extracted	low	source row is still OCR-level
6	lerch_glossary_p197_r0006:entry	197	Ahmed	Ahmêd		Personenname,			ocr_extracted	low	source row is still OCR-level
7	lerch_glossary_p197_r0007:entry	197	dqjl	dqjl		Verstand. Vgl. Krm. äqjl.			ocr_extracted	low	source row is still OCR-level
8	lerch_glossary_p197_r0008:entry	197	akün’a	aküna		(ich) ölTne; s. ken’a. akerd, akürd, öffnete, 51.8; 65.10. akürdau, ist offen,			ocr_extracted	low	source row is still OCR-level
9	lerch_glossary_p197_r0009:entry	197	ageira	agêyra		ageral, ging, war im Ge- hen begriffen, 71.8. agerai digerai, ging hin und her, 85.13.			ocr_extracted	low	source row is still OCR-level
10	lerch_glossary_p197_r0010:entry	197	ayä	aya	ağa, axa	Agha	agha; notable; lord	ağa	headword_parented	medium	
11	lerch_glossary_p197_r0011:entry	197	andün’a	andüna		(ich) ziehe heraus. and, zog heraus,			ocr_extracted	low	source row is still OCR-level
12	lerch_glossary_p197_r0012:entry	197	dya	dya		jener, e, es, 64.13.			ocr_extracted	low	source row is still OCR-level
13	lerch_glossary_p197_r0013:entry	197	Adär	Adar	adar	Monatsname; s. Abth. S. xv.		mart, yılın üçüncü ayı adar helnena, nisun naseinena,	headword_parented	medium	
14	lerch_glossary_p197_r0014:entry	197	adjr	adjr		Feuer. Vgl. Krm. ayjr.			ocr_extracted	low	source row is still OCR-level
15	lerch_glossary_p197_r0015:entry	197	äna	ana	ana	diese(r) hier, die hier, der hier	this; this is	bu, -dır, -dir, -dur, -dür	headword_parented	medium	
16	lerch_glossary_p197_r0016:entry	197	äna	ana	ardene	(ich) bringe, 84.16. änu, (er) bringe, 51.9. Vgl. Krm. ani.	bring, bring here	getirmek	headword_parented	medium	
17	lerch_glossary_p197_r0017:entry	197	asirän	asiran		vom Stamme (Tribus), zum Stamme gehörig; s. aäirüt.			ocr_extracted	low	source row is still OCR-level
18	lerch_glossary_p197_r0018:entry	197	asiret	asirêt	aşiret, 'eşiret	(arab. ^ic), Stamm, Tri- bus.		aşiret	headword_parented	medium	
19	lerch_glossary_p197_r0019:entry	197	äsma	asma	Aşme	äsme, Monat, Mond; s. Abth. I, S. xv, xxv, Anm. 12 .	1) moon 2) month 3) girl name	1) ay (gökyüzü), 2) ay (takvim ayı) 3) bir kız ismi	headword_parented	medium	
20	lerch_glossary_p197_r0020:entry	197	asän be	asan bê		ruhe aus, erhole dich, .1-2 . Vgl. npers: jL), jjL l_1.			ocr_extracted	low	source row is still OCR-level
21	lerch_glossary_p198_r0021:entry	198	asfin’a	asfina		(ich) sehe. asdn’i, (sie) scheu, 49 . ö.			ocr_extracted	low	source row is still OCR-level
22	lerch_glossary_p198_r0022:entry	198	dsmye	dsmyê		Himmel. Vgl. Krm. azmdn; cf. Pott Et. F. I, 194.			ocr_extracted	low	source row is still OCR-level
23	lerch_glossary_p198_r0023:entry	198	azdd kdn’a	azdd kdna		(ich) befreie. Vgl. Krm. az&d kir.			ocr_extracted	low	source row is still OCR-level
24	lerch_glossary_p198_r0024:entry	198	ar	ar	ard	Mehl. Gld: ar.	flour	un	headword_parented	medium	
25	lerch_glossary_p198_r0025:entry	198	arewantf	arêwantf		Müller, 83.3 sq.			ocr_extracted	low	source row is still OCR-level
26	lerch_glossary_p198_r0026:entry	198	aris	aris	arış	Mühle, 83.3.		ekmeklik tahıl; | öğütmek için değirmene götürülen tahıl,un	headword_parented	medium	
27	lerch_glossary_p198_r0027:entry	198	argös	argos		Hase. Vgl. Krm. kerosk, kergü.			ocr_extracted	low	source row is still OCR-level
28	lerch_glossary_p198_r0028:entry	198	ard	ard	hard	Erde. Vgl. Krm. ard.	earth, soil, earth’s surface	toprak, yer, yeryüzü	headword_parented	medium	
29	lerch_glossary_p198_r0029:entry	198	ard	ard	ardene	brachte. ärdu, (dass du) brachtest, 52.8. Ärdi, brachten, 56.8; 65.7. bidri, biari, werden bringen, 62.8; 79.7; 84.12.	bring, bring here	getirmek	headword_parented	medium	
30	lerch_glossary_p198_r0030:entry	198	arbüzy	arbüzy		Blutigel.			ocr_extracted	low	source row is still OCR-level
31	lerch_glossary_p198_r0031:entry	198	Ali	Ali	Ali	Personenname.			headword_parented	medium	
32	lerch_glossary_p198_r0032:entry	198	Aldh	Aldh		Gott,			ocr_extracted	low	source row is still OCR-level
33	lerch_glossary_p198_r0033:entry	198	alüsk	alüsk		Wange,			ocr_extracted	low	source row is still OCR-level
34	lerch_glossary_p198_r0034:entry	198	altün	altün	altun, altın	(türk. ,jyJl), Gold,		altın	headword_parented	medium	
35	lerch_glossary_p198_r0035:entry	198	altunin	altûnin	altunın	golden.		altınlı	headword_parented	medium	
36	lerch_glossary_p198_r0036:entry	198	el'itidr	êlitidr		Greis,			ocr_extracted	low	source row is still OCR-level
37	lerch_glossary_p198_r0037:entry	198	ehende	êhêndê		einige, 68.9.			ocr_extracted	low	source row is still OCR-level
38	lerch_glossary_p198_r0038:entry	198	ek’e	êkê	eke	wenn. Vgl. Krm. ek.		diğinde	headword_parented	medium	
39	lerch_glossary_p198_r0039:entry	198	enkai	ênkay		sobald, 67.2.			ocr_extracted	low	source row is still OCR-level
40	lerch_glossary_p198_r0040:entry	198	äbéra	abêra		ich lasse fallen	to let fall / drop	bırakmak / düşürmek	qa_reviewed	high	
41	lerch_glossary_p198_r0041:entry	198	amá	ama	amayene	ich komme	to come / I come	gelmek / geliyorum	qa_reviewed	high	
42	lerch_glossary_p198_r0042:entry	198	amdneta	amdnêta		Schützling; s. emdneta.			ocr_extracted	low	source row is still OCR-level
43	lerch_glossary_p198_r0043:entry	198	ammini	ammini		im Sommer. Vgl. Krm. havin.			ocr_extracted	low	source row is still OCR-level
44	lerch_glossary_p198_r0044:entry	198	Avdul’ah	Avdûlah		Personenname,			ocr_extracted	low	source row is still OCR-level
45	lerch_glossary_p198_r0045:entry	198	awe	awê		dieser, e, es; 50.4. auch aü’e.			ocr_extracted	low	source row is still OCR-level
46	lerch_glossary_p198_r0046:entry	198	engeld	êngêld		Oberarm,			ocr_extracted	low	source row is still OCR-level
47	lerch_glossary_p198_r0047:entry	198	engimye	êngimyê		Honig. Vgl. Krm. hinglv.			ocr_extracted	low	source row is still OCR-level
48	lerch_glossary_p198_r0048:entry	198	engist	êngist		Finger. Vgl. allb: angusta; hzv: e-rp. . pärs^ npers: *. „;.r.l S. Polt Zählmethode, 283. engisti lingän, Fusszehe. engistere, Hing am Finger, eiigi'ir, Weintraube. Vgl. Ir. bei Kich: engheer, npers: jfi>\			ocr_extracted	low	source row is still OCR-level
49	lerch_glossary_p199_r0049:entry	199	gtia	gtya		hier. etira, hierher, von hier, en’a = äna. Sn’oe = fn’a. Sn’ie, plur.			ocr_extracted	low	source row is still OCR-level
50	lerch_glossary_p199_r0050:entry	199	estdr	êstdr		Stern. Vgl. Krm. istörik, histSr, hu- stSr, sterik.			ocr_extracted	low	source row is still OCR-level
51	lerch_glossary_p199_r0051:entry	199	eiäte	êyatê		warf, 58.3; 82. ii.			ocr_extracted	low	source row is still OCR-level
52	lerch_glossary_p199_r0052:entry	199	eizjmi	êyzjmi		Holz. Vgl. Krm. hezjng.			ocr_extracted	low	source row is still OCR-level
53	lerch_glossary_p199_r0053:entry	199	eiroe	êyroê		heute. Vgl. Krm. Irö. eiru = eiroe.			ocr_extracted	low	source row is still OCR-level
54	lerch_glossary_p199_r0054:entry	199	eil	êyl		eilek, Kind,			ocr_extracted	low	source row is still OCR-level
55	lerch_glossary_p199_r0055:entry	199	egit	êgit	eğit	(türk. vlX), Held, 56, «4. ingist = engiät.		yiğit	headword_parented	medium	
56	lerch_glossary_p199_r0056:entry	199	oyjr	oyjr		(türk.			ocr_extracted	low	source row is still OCR-level
57	lerch_glossary_p199_r0057:entry	199	Jkji	Jkji		1), Glück, 54.14. . 109 V			ocr_extracted	low	source row is still OCR-level
58	lerch_glossary_p199_r0058:entry	199	estdr	êstdr		Pferd,			ocr_extracted	low	source row is still OCR-level
59	lerch_glossary_p199_r0059:entry	199	estii	êstyy		ist.			ocr_extracted	low	source row is still OCR-level
60	lerch_glossary_p199_r0060:entry	199	esnau kdn’a	êsnaw kdna		bade mich,			ocr_extracted	low	source row is still OCR-level
61	lerch_glossary_p199_r0061:entry	199	ez	êz	ez	ich. erd = ard.	I	ben	headword_parented	medium	
62	lerch_glossary_p199_r0062:entry	199	erdjsi	êrdjsi		Bart.			ocr_extracted	low	source row is still OCR-level
63	lerch_glossary_p199_r0063:entry	199	Sre’u	Srêû		spät.			ocr_extracted	low	source row is still OCR-level
64	lerch_glossary_p199_r0064:entry	199	ers kerd	êrs kêrd		komniandirte: marsch!			ocr_extracted	low	source row is still OCR-level
65	lerch_glossary_p199_r0065:entry	199	eräau’üte	êraawütê		schickte. ersauwen’a, (ich) schicke. Vgl. oss: apB&ryu.			ocr_extracted	low	source row is still OCR-level
66	lerch_glossary_p199_r0066:entry	199	ernte	êrntê		Schulter,			ocr_extracted	low	source row is still OCR-level
67	lerch_glossary_p199_r0067:entry	199	em’a	êma	am, aem	Vaterschwester.		hala, bibi	headword_parented	medium	
68	lerch_glossary_p199_r0068:entry	199	emSr	êmSr		(arab.^^c), Leben.			ocr_extracted	low	source row is still OCR-level
69	lerch_glossary_p199_r0069:entry	199	(mäoe	(maoê		diese Nacht. Vgl. Krm. läev. • _			ocr_extracted	low	source row is still OCR-level
70	lerch_glossary_p199_r0070:entry	199	Sstere	Sstêrê		Horn: s. Krm. stüru. espär. weristbeespdr, stieg zu Pferde, 67.il.			ocr_extracted	low	source row is still OCR-level
71	lerch_glossary_p199_r0071:entry	199	efendim	êfêndim		(tiirk.^jJil), mein Herr,			ocr_extracted	low	source row is still OCR-level
72	lerch_glossary_p199_r0072:entry	199	evära	êvara		Abend.			ocr_extracted	low	source row is still OCR-level
73	lerch_glossary_p200_r0073:entry	200	umi'id	ûmiid		Hoffnung. Vgl. Krm. f vi.			ocr_extracted	low	source row is still OCR-level
74	lerch_glossary_p200_r0074:entry	200	ha in	ha in		hier; 64.8; 66.».			ocr_extracted	low	source row is still OCR-level
75	lerch_glossary_p200_r0075:entry	200	H'aidür	Haydür		Personenname,			ocr_extracted	low	source row is still OCR-level
76	lerch_glossary_p200_r0076:entry	200	hii’idi	hyyidi		76. to.			ocr_extracted	low	source row is still OCR-level
77	lerch_glossary_p200_r0077:entry	200	hau	haw		Schlaf. Vgl. Krm. liäv.			ocr_extracted	low	source row is still OCR-level
78	lerch_glossary_p200_r0078:entry	200	haüna	hawna		sogleich,			ocr_extracted	low	source row is still OCR-level
79	lerch_glossary_p200_r0079:entry	200	haul	hawl		Lohn (?)	reward / pay	ödül / ücret	qa_reviewed	high	
80	lerch_glossary_p200_r0080:entry	200	hak	hak	hak	Ei. Vgl. Krm. hek.	egg	yumurta	headword_parented	medium	
81	lerch_glossary_p200_r0081:entry	200	h&tia	h&tya		hier.			ocr_extracted	low	source row is still OCR-level
82	lerch_glossary_p200_r0082:entry	200	hadrü	hadrü		hadre, bereit, fertig, hadraü, ist fertig, hadre kerdu, bereite, 52.7.			ocr_extracted	low	source row is still OCR-level
