lemma_key	status	token_count	text_count	text_counts	lemma_hints	zazaki_variants	lerch_variants	context_gloss_hints	glossary_entries	glossary_match_sources	example_ref	example_token_zazaki	example_token_lerch	example_line_zazaki	example_line_lerch
aga	glossary_match	87	4	ali-agha-ladi-kelhani:46; kauge-nyerib-u-sivani:20; kauge-nyerib-u-hyeni:19; uc-kardes-masali:2	aga; aγa	ağa; ağay; ağayra; ağara	aγá; aγaí; aγá; aγá,; aγá,; aγaíra.; aγā́; aγaíra	Agha; agha; EZ/OBL; Agha, title; GOAL/RECIP; lord; RECIP; ABL	ayä	lemma	ali-agha-ladi-kelhani:a01_l01:1	ağa	aγá	Ali ağa laci Kêlhani mirêy na'hêy Karbegani. Namêy daway	Áli aγá lā́d̮i Kelháni mírei nah̔eí Karbe̱gā́ni. Nameí daú’ai
agai	glossary_match	89	3	kauge-nyerib-u-hyeni:48; kauge-nyerib-u-sivani:40; uc-kardes-masali:1	agai	ağay; ağayri; ağayra; Ağay	aγái; aγái; aγáiri; aγáira:; aγáira; aγaíri; aγāiri; aγaí	Agha; GOAL/RECIP; Agha, title	ayä	lemma	kauge-nyerib-u-hyeni:h02_l04:5	ağay	aγái	ver da, şê Nyêrib Xalef ağay 'hêt, yêra va kê: mê yaw merdümû	ve̱r dā, šẹ̄ Ńeríb Χalé̱f aγái h̔et, yéra vā ke: me yau me̱rdṳ́mu
ageira	glossary_match	1	1	kauge-nyerib-u-hyeni:1	ageira	agêyra	ageíra,	set out	ageira	lemma	kauge-nyerib-u-hyeni:h01_l02:8	agêyra	ageíra,	Veri coan yaw merdüm Nyêribra werişt şê Dawzra agêyra,	Vé̱ri d̮ṓan yau me̱rdṳ́m Ńeríbra we̱ríšt šẹ̄ Daúzra ageíra,
ah	glossary_match	1	1	kauge-nyerib-u-sivani:1	ah	A'h	Ah̔-	Ahmed-	Avdul’ah	lemma	kauge-nyerib-u-sivani:s01_l05:10	A'h	Ah̔-	dızdê ra: tê qangcaray. Dızdi va kê: ez Nyêribraya. Laci Mêla A'h-	dí̥zdera: te qāṅd̮araí. Dí̥zdi vā ke: e̱z Ńeríbraya. Lā́d̮i Mél’a Ah̔-
ama	glossary_match	3	2	ali-agha-ladi-kelhani:2; kauge-nyerib-u-hyeni:1	ama	ama	amá; āmá; āmá.	to come	amá	lemma	ali-agha-ladi-kelhani:a02_l10:11	ama	amá	Qasim ağa şi Ali ağay hetê ronişt va kê: ağa, ez ama twêra ric	Qasím aγá ši Áli aγaí hé̱te rōníšt vā ke: aγá, e̱z amá túera rīd̮
ame	glossary_match	26	5	uc-kardes-masali:10; degirmenci-ve-tilki:7; kauge-nyerib-u-hyeni:5; goin-puhu-kusunun-hikayesi:2; kauge-nyerib-u-sivani:2	ame	ame; amê	āmé; amé; āmé̱; āmé̱,; āmé̱; āmé̱; āmé̱,; āmé,	came	amá; yen’a	lemma	degirmenci-ve-tilki:mf01_l03:2	ame	āmé̱	sêbah werişt, ame arêyê, awnyaykê ardi mêsahıdi çınyi; aya şawê	sebáh we̱ríšt, āmé̱ āréye, auńaíke ā́rdi mesáhi̥di t̮í̥ńi; áya šaú’e
amei	glossary_match	24	6	ali-agha-ladi-kelhani:5; goin-puhu-kusunun-hikayesi:5; degirmenci-ve-tilki:4; kauge-nyerib-u-sivani:4; kauge-nyerib-u-hyeni:3; uc-kardes-masali:3	amei	amêy	āmeí; āmeí; āmeí,; āmeí,; ameí; ameí,	came	amá; yen’a	lemma	ali-agha-ladi-kelhani:a01_l06:1	amêy	āmeí	Sivani amêy pyêser, mêşore kerd, ağalêrani Sivani, Qasim ağa	Sivā́ni āmeí pyesé̱r, méšore̱ ke̱rd, aγálerāni Sivā́ni, Qasím aγá
ameiya	glossary_match	2	2	ali-agha-ladi-kelhani:1; uc-kardes-masali:1	ameiya	amêya	ameíya,; ameíya,	I have come	amá; yen’a	lemma	ali-agha-ladi-kelhani:a03_l11:8	amêya	ameíya,	ver, veng da va kê A'hmêdira: warêza, ez amêya, tı kû sera	ve̱r, ve̱ṅg dā vā ke Ah̔médira: wáreza, e̱z ameíya, ti̥ ku sé̱ra
ana	glossary_match	4	3	uc-kardes-masali:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	ana	ana	ā́na.; āna.; ā́na	this; I bring	äna	lemma	degirmenci-ve-tilki:mf03_l09:5	ana	āna.	byêrû tya, ez twêri 'haberê ana.	byẹ̄́ru tía, e̱z túeri h̔abé̱re āna.
ard	glossary_match	7	5	kauge-nyerib-u-sivani:2; uc-kardes-masali:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	ard	ard	ārd,; ārd; ārd; ārd.; ārd,	brought	ar; ard	lemma	ali-agha-ladi-kelhani:a02_l04:7	ard	ārd	ağa enyê wirdi şi, kêy Ali ağay ard dawê, çêhêr hemê lacana	aγá ḗ̱n’ie wírdi šī, kei Áli aγaí ārd daú’e, t̮ehér hé̱me lad̮ā́na
ardi	glossary_match	8	6	degirmenci-ve-tilki:2; uc-kardes-masali:2; ali-agha-ladi-kelhani:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	ardi	ardi	ā́rdi; ā́rdi; ā́rdi,	brought	ar; ard; müäi ärdi	lemma	ali-agha-ladi-kelhani:a04_l13:4	ardi	ā́rdi	hêyşt merdûmi ğaribana gêrawti ardi berdi wederti.	heíšt mē̱rdúmi γaribā́na geraúti ā́rdi bé̱rdi we̱dé̱rti.
arewanti	glossary_match	15	1	degirmenci-ve-tilki:15	arewanti	arêwangçi; Arêwangçi; arêwangçira; Arêwangti	Ārewāṅt̮í; ārewāṅt̮í; ārewāṅt̮íra:; ārewāṅt̮íra; Ārewāṅtí; ārewāṅt̮í;	miller; RECIP	arewantf	lemma	degirmenci-ve-tilki:mf01_l01:8	arêwangçi	ārewāṅt̮í	Cayki bi çi nyêbi, yaw Alah bê, yaw arêwangçi bê. Ariş tê'h-	D̮aíki bī t̮i ńébī, yau Aláh bẹ̄, yau ārewāṅt̮í bẹ̄. Āríš tēh̔-
arewantiri	glossary_match	1	1	degirmenci-ve-tilki:1	arewantiri	arêwangçiri	ārewāṅt̮íri	to the miller	arewantf	lemma	degirmenci-ve-tilki:mf02_l08:7	arêwangçiri	ārewāṅt̮íri	va kê: tı mêri swangd bwanê. Lûê arêwangçiri swangd wend, arê-	vā ke: ti̥ méri suáṅd buáne. Lú’e ārewāṅt̮íri suáṅd we̱nd, āre-
aris	glossary_match	1	1	degirmenci-ve-tilki:1	aris	Ariş	Āríš	mill	aris	lemma	degirmenci-ve-tilki:mf01_l01:10	Ariş	Āríš	Cayki bi çi nyêbi, yaw Alah bê, yaw arêwangçi bê. Ariş tê'h-	D̮aíki bī t̮i ńébī, yau Aláh bẹ̄, yau ārewāṅt̮í bẹ̄. Āríš tēh̔-
asan	glossary_match	1	1	uc-kardes-masali:1	asan	asang	asā́ṅ	rest	asän be	lemma	uc-kardes-masali:tb02_l15:0	asang	asā́ṅ	asang bê.	asā́ṅ bẹ̄.
asirani	glossary_match	2	1	kauge-nyerib-u-hyeni:2	asirani	aşirani	aširā́ni,	tribal men	asirän	lemma	kauge-nyerib-u-hyeni:h04_l13:4	aşirani	aširā́ni,	bıki, ma cang mırdi aşirani, metêrsi, ez 'ha şıma ver, kêykê ez	bi̥kí, mā d̮āṅ mí̥rdi aširā́ni, mé̱tersi, e̱z h̔ā ši̥má ve̱r, keíke e̱z
asiret	glossary_match	4	2	gespraech-mit-hassan:3; uc-kardes-masali:1	asiret	aşirêta; aşiranû; aşirêt	ašíreta; aširā́nu.; aširét,	tribe; EZ/GEN; PL; OBL/EZ	asiret	lemma	gespraech-mit-hassan:h01_l03:1	aşirêta	ašíreta	Namêy aşirêta tê çinaw?	Nāmeí ašíreta te t̮ínau?
asmai	glossary_match	1	1	gespraech-mit-hassan:1	asmai	aşmay	ā́šmai	moon	äsma	lemma	gespraech-mit-hassan:h03_l07:1	aşmay	ā́šmai	Ma aşmay paizi veryêni yêni war.	Mā ā́šmai pa’ízi vē̱ryén’i yén’i wār.
asme	glossary_match	4	4	degirmenci-ve-tilki:1; gespraech-mit-hassan:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	asme	aşmê; Aşmê	ášme; Ā́šme; ā́šme; ā́šme	month	äsma	lemma	degirmenci-ve-tilki:mf04_l09:10	aşmê	ášme	pişt, berd kûnağ û seryê; va kê paşay Mısrira: yaw aşmê aqıl	píšt, be̱rd kunáγ u sé̱rye; vā ke pašai Mi̥srira: yau ášme āqí̥l
au	glossary_match	1	1	uc-kardes-masali:1	au	Aw	Au	that	d'au	lemma	uc-kardes-masali:tb02_l01:4	Aw	Au	'Hasanêk awna yaw dûma. Aw dûma daw bû. Vêcaw awdara,	Hʿasanék auná yau dumá. Au dumá dau bū. Ved̮aú aúdara,
audara	glossary_match	1	1	uc-kardes-masali:1	audara	awdara	aúdara,	out	aüdara	lemma	uc-kardes-masali:tb02_l01:9	awdara	aúdara,	'Hasanêk awna yaw dûma. Aw dûma daw bû. Vêcaw awdara,	Hʿasanék auná yau dumá. Au dumá dau bū. Ved̮aú aúdara,
aukai	glossary_match	5	1	kauge-nyerib-u-sivani:5	aukai	awkay	aúkai	stream	aüka	lemma	kauge-nyerib-u-sivani:s02_l05:5	awkay	aúkai	mêyştê eskêri xoê gêna, yêna awkay Şêlê ver, tızi wicara eskêri	meíšte e̱skéri χóe ǵén’a, yén’a aúkai Šél’e ve̱r, tí̥zi wid̮ára e̱skéri
awe	glossary_match	2	1	uc-kardes-masali:2	awe	awe	awé̱	that	awe	lemma	uc-kardes-masali:tb02_l04:2	awe	awé̱	yêni: metêrsi, awe kê estû awe dyaw, yênû ma 'hêt, mara vanû:	yéni: mé̱tersi, awé̱ ke é̱stu awé̱ d́au, yén’u mā h̔ēt, mā́ra vā́nu:
aya	glossary_match	6	4	goin-puhu-kusunun-hikayesi:2; uc-kardes-masali:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1	aya	aya	áya; áya; aya	that; Agha	ayä	lemma	ali-agha-ladi-kelhani:a04_l05:0	aya	áya	aya xancêri kişti. A'hmêd kişya. 'Hiryê heme bêrai A'hmêdi bawkê	áya χand̮éri kíšti. Ah̔méd kíšya. Hʿī́rye hé̱me̱ berá’i Ah̔médi baúke
bar	glossary_match	1	1	ali-agha-ladi-kelhani:1	bar	bar	bār	load	bar kdn’a	lemma	ali-agha-ladi-kelhani:a01_l04:3	bar	bār	ağay kêyê xoê bar kêrd, şê Syêraçûrê. Hiris û şêş roci vênert	aγaí keíye χóe bār kerd, šẹ̄ Syérat̮ūre. Híris u šẹ̄š rṓd̮i vené̱rt
barut	glossary_match	2	1	kauge-nyerib-u-hyeni:2	barut	barût	bā́rut; bārút,	gunpowder	bärut	lemma	kauge-nyerib-u-hyeni:h02_l15:8	barût	bā́rut	têra rêki xoê bıkêri, 'Hyênêyici madê kawğe kêni, barût bigêri,	téra réki χóe bi̥kéri, Hʿyẹ̄́neyíd̮í mā́de kauγé̱ kén’i, bā́rut bigéri,
bau	glossary_match	4	1	goin-puhu-kusunun-hikayesi:4	bau	baw	bau,	father	bau kdli	lemma	goin-puhu-kusunun-hikayesi:g02_l07:7	baw	bau,	êyştû zêyndang. Sêbah wardêna, bawki xoêra vana: baw, mê em-	eíštu zeindā́ṅ. Sebáh wardén’a, bāúki χóera vā́na: bau, me é̱m-
bauki	glossary_match	11	3	goin-puhu-kusunun-hikayesi:9; ali-agha-ladi-kelhani:1; gespraech-mit-hassan:1	bauki	Bawki; bawki	Baúki; baúki; Bāúki; bāúki	father; perhaps	bauk	lemma	ali-agha-ladi-kelhani:a03_l02:4	bawki	baúki	ma mebêrê, tê xaini, bawki mê serêdê aqıl çinyû, rocêy ramazanyû,	mā mé̱bere, te χa’íni, baúki me sé̱rede áqi̥l t̮íńu, rṓd̮ei ramazányu,
bauni	glossary_match	3	3	ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1; uc-kardes-masali:1	bauni	bawni	baúni,; baúni,; baúni	look; match	baüni	lemma	ali-agha-ladi-kelhani:a03_l03:0	bawni	baúni,	bawni, xalo, tê çêkani ma bêni, pêynıdê tê xain vêci, ez twê kı-	baúni, χálō, te t̮ékāni mā bén’i, peíni̥de te χa’ín ved̮í, e̱z túe ki̥-
be	glossary_match	36	6	uc-kardes-masali:9; kauge-nyerib-u-hyeni:8; kauge-nyerib-u-sivani:8; degirmenci-ve-tilki:5; ali-agha-ladi-kelhani:4; goin-puhu-kusunun-hikayesi:2	be	bê; bêna; bêni; bênû; bênu	be,; be; bén’a; bẹ̄,; bẹ̄.; bén’u,; bén’u,; bén’i,	be; PRS.1SG; be/take; PRS/FUT.3SG; PRS/FUT; with/by; take/be	asän be; bye	lemma	ali-agha-ladi-kelhani:a02_l01:4	bênu	bén’u,	Weşini va kê: rınd bênû, ma şyêri Ali ağay byari bıkşi. Ağalê-	We̱šíni vā ke: ri̥nd bén’u, mā šyẹ̄́ri Áli aγaí biári bi̥kší. Aγale-
beirakdar	glossary_match	1	1	kauge-nyerib-u-hyeni:1	beirakdar	bêyrakdar	beirakdā́r	standard-bearer	beirakdär	lemma	kauge-nyerib-u-hyeni:h08_l08:9	bêyrakdar	beirakdā́r	bıdê, ma şyêri kawğe. Xalef ağa va kê: erş! bêyrakdar kawt eskêri	bi̥dé, mā šyẹ̄́ri kauγé̱. Χalé̱f aγá vā ke: e̱rš! beirakdā́r kaut e̱skéri
ber	glossary_match	4	2	ali-agha-ladi-kelhani:2; uc-kardes-masali:2	ber	bêr; ber	ber; bé̱r	door; thanks	ber’e; ber äekit	lemma	ali-agha-ladi-kelhani:a03_l08:3	bêr	ber	ama tebêr, mevindi, bêr bışikni, şyêri zerê, Ali ağay çêhêr hemê	āmá te̱bér, mé̱vindi, ber bi̥šíkni, šyẹ̄́ri zé̱re, Áli aγaí t̮ehér hé̱me
berai	glossary_match	46	3	uc-kardes-masali:27; goin-puhu-kusunun-hikayesi:18; ali-agha-ladi-kelhani:1	berai	bêray; bêrai; Bêray; Bêrai	beraí; beraí; berá’i; Beraí; berá’i; berāí; berā́’i; Berá’i	brother; brothers	berd	lemma	ali-agha-ladi-kelhani:a04_l05:7	bêrai	berá’i	aya xancêri kişti. A'hmêd kişya. 'Hiryê heme bêrai A'hmêdi bawkê	áya χand̮éri kíšti. Ah̔méd kíšya. Hʿī́rye hé̱me̱ berá’i Ah̔médi baúke
berd	glossary_match	14	4	uc-kardes-masali:8; degirmenci-ve-tilki:4; ali-agha-ladi-kelhani:1; goin-puhu-kusunun-hikayesi:1	berd	berd	be̱rd; be̱rd,	took; carried; put; carried away	berd	lemma	ali-agha-ladi-kelhani:a04_l01:1	berd	be̱rd	xoê berd zerêy şibakê, yaw xancêri zerêy şıbakêdê di gêrawtê vera,	χóe be̱rd ze̱reí šibāke, yau χand̮éri ze̱reí ši̥bā́kede dī geraúte vé̱ra,
berdene	glossary_match	2	1	kauge-nyerib-u-sivani:2	berdene	bêna	bén’a,; bén’a.	take.IPFV.1SG	berd; mebere	lemma	kauge-nyerib-u-sivani:s01_l10:8	bêna	bén’a,	bıkêra, bêra twê ez dyang, lakimkê ez ha bêna, zor bêna. Laci	bi̥kéra, berá túe e̱z diā́ṅ, lakímke e̱z hā bén’a, zōr bén’a. Lā́d̮i
berdi	glossary_match	5	4	ali-agha-ladi-kelhani:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1; uc-kardes-masali:1	berdi	berdi	bé̱rdi,; bé̱rdi; bé̱rdi,; bé̱rdi	carried; carried away; brother	berd; berdi	lemma	ali-agha-ladi-kelhani:a02_l05:0	berdi	bé̱rdi,	berdi, kêrdi wadey Mê'hmêdi 'Hêndani. Qasim ağay şawê 'habêrê	bé̱rdi, kérdi wade̱i Meh̔médi Hʿendā́ni. Qasím aγaí šaú’e h̔abére
bere	glossary_match	3	3	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	bere	berê	bé̱re,; bé̱re; bé̱r’e,	bring, bring here	ber’e	lemma	kauge-nyerib-u-hyeni:h09_l02:5	berê	bé̱re,	pyêrû kişyay, byê mêytani xoê berê, mêytani mê waderê çawdê	pyéru kišyái, bye meitāni χóe bé̱re, meitāni me wáde̱re t̮aúde
beri	glossary_match	5	3	degirmenci-ve-tilki:2; uc-kardes-masali:2; ali-agha-ladi-kelhani:1	beri	beri; bêri	bé̱ri; bé̱ri; béri; bēri,	one day; brother; carry	ber’e; ber äekit	lemma	ali-agha-ladi-kelhani:a04_l10:9	beri	bé̱ri	aylana dês û hêyşt teni merdümi ğaribana 'hetya byêri beri we-	aílāna des u heíšt té̱ni me̱rdṳ́mi γaribā́na h̔é̱tia bíeri bé̱ri we̱-
bersau	glossary_match	7	2	uc-kardes-masali:6; kauge-nyerib-u-hyeni:1	bersau	berşaw	bḗ̱ršau,; bḗ̱ršau; bē̱ršaú	send; send word	berSau	lemma	kauge-nyerib-u-hyeni:h02_l13:5	berşaw	bē̱ršaú	Wesman ağayri va kê: 'habêrê berşaw Dêyştêy 'Henzi Mê'hmêt ağayri.	We̱smán aγáiri vā ke: h̔abére bē̱ršaú Deíštei Hʿé̱nzi Meh̔mét aγaíri.
bidi	glossary_match	1	1	kauge-nyerib-u-sivani:1	bidi	bıdi	bi̥dí	for	da; däna; pero däna	lemma	kauge-nyerib-u-sivani:s05_l12:4	bıdi	bi̥dí	tê ağay ena gêlankê bıdi ricay mê Xalef ağay. Avdûlah ağa va	te aγái ḗ̱n’a gelā́ṅke bi̥dí rid̮aī me Χalé̱f aγái. Avdúl’ah aγá vā
bie	glossary_match	3	2	goin-puhu-kusunun-hikayesi:2; ali-agha-ladi-kelhani:1	bie	byê	bíe; bī́e.	became	bye	lemma	ali-agha-ladi-kelhani:a04_l04:2	byê	bíe	çimyirû, goêni byê A'hmêdi çimi. A'hmêd hyêrs bê, 'hawt teni pêy	t̮ímyiru, gó’eni bíe Ah̔médi t̮ími. Ah̔méd hyẹ̄rs be, h̔aut té̱ni pei
byare	glossary_match	1	1	degirmenci-ve-tilki:1	byare	byarê	byā́re,	bring	j byäre; byßri = byäre	lemma	degirmenci-ve-tilki:mf05_l04:3	byarê	byā́re,	lwêra: mıri awkê byarê, ez şwêna dêsmaç. Lwê werişt şyê, awkê	lúera: mí̥ri aúke byā́re, e̱z šuen’a desmāt̮. Lúe we̱ríšt šíe, aúke
byari	glossary_match	1	1	degirmenci-ve-tilki:1	byari	byari	byā́ri,	bring	äna; ard; ber’e	lemma	degirmenci-ve-tilki:mf03_l05:8	byari	byā́ri,	wa wênisi, wa twêdê byêri, mıri çêmçêqû paşay byari, enoê ca	wa wén’isi, wa túede byẹ̄́ri, mí̥ri t̮emt̮eqú pašai byā́ri, ḗ̱n’oe d̮ā
bye	glossary_match	23	5	kauge-nyerib-u-hyeni:13; kauge-nyerib-u-sivani:6; degirmenci-ve-tilki:2; ali-agha-ladi-kelhani:1; uc-kardes-masali:1	bye	byê	bye; bye,; bye.	come	bye	lemma	ali-agha-ladi-kelhani:a03_l05:9	byê	bye	kê: 'halo xancêray mê bıdê, ez zana, tê xaini, byê ba'htêdê tı ma	ke: h̔álō χand̮érai me bi̥dé, e̱z zána, te χa’íni, bye bah̔tẹ̄́de ti̥ mā
byeri	glossary_match	3	2	kauge-nyerib-u-hyeni:2; degirmenci-ve-tilki:1	byeri	byêri	byẹ̄́ri,; byẹ̄́ri; byẹ̄́ri,	come; bring	bye	lemma	degirmenci-ve-tilki:mf03_l05:4	byêri	byẹ̄́ri,	wa wênisi, wa twêdê byêri, mıri çêmçêqû paşay byari, enoê ca	wa wén’isi, wa túede byẹ̄́ri, mí̥ri t̮emt̮eqú pašai byā́ri, ḗ̱n’oe d̮ā
da	glossary_match	33	5	uc-kardes-masali:14; kauge-nyerib-u-hyeni:9; ali-agha-ladi-kelhani:4; degirmenci-ve-tilki:4; kauge-nyerib-u-sivani:2	da	da; ca	dā; dā; dā.; d̮ā; dā,; dā:; dā-	gave; called; overran	da	lemma	ali-agha-ladi-kelhani:a01_l02:7	da	dā	Ali ağay Narbyêş. Ali ağa çêhêr dawang da pyêrû, hiris û çêhêr	Áli aγaí Nārbyẹ̄́š. Áli aγá t̮ehér daú’āṅ dā pyérū, híris u t̮ehér
dai	glossary_match	21	6	degirmenci-ve-tilki:6; uc-kardes-masali:6; kauge-nyerib-u-sivani:4; ali-agha-ladi-kelhani:2; kauge-nyerib-u-hyeni:2; goin-puhu-kusunun-hikayesi:1	dai	day; cay	dai; d̮ai; dai.; dai,; daí	struck; gave; there; exchanged	da; däna; pero däna	lemma	ali-agha-ladi-kelhani:a02_l14:11	day	dai	wênd. Ali ağay çêki xoê çêhêr hemê lacana xoê aryê kerdi, day Qasim	wend. Áli aγaí t̮éki χóe t̮ehér hé̱me lad̮ā́na χóe ā́rye ké̱rdi, dai Qasím
dan	glossary_match	4	2	kauge-nyerib-u-hyeni:2; uc-kardes-masali:2	dan	cang	d̮āṅ	people; blow	dan mirdi	lemma	kauge-nyerib-u-hyeni:h04_l13:2	cang	d̮āṅ	bıki, ma cang mırdi aşirani, metêrsi, ez 'ha şıma ver, kêykê ez	bi̥kí, mā d̮āṅ mí̥rdi aširā́ni, mé̱tersi, e̱z h̔ā ši̥má ve̱r, keíke e̱z
dana	glossary_match	6	3	uc-kardes-masali:3; kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1	dana	dana	dā́na; dána; dā́na; dā́na.; dāna.	I give	däna; pero däna	lemma	kauge-nyerib-u-hyeni:h03_l12:6	dana	dā́na	qamêk vyêna byê sila serêy cêy dana püroê. Daqma begi va kê:	qā́meḱ vyén’a bye silá sé̱rei d̮ei dā́na pṳ́roe. Dáqma bé̱gi vā ke:
