normalized_form	token_count	text_count	texts	variants	lemmas	best_gloss_hint	examples	review_action	review_note
eskeri	67	4	kauge-nyerib-u-hyeni:38; kauge-nyerib-u-sivani:21; ali-agha-ladi-kelhani:4; degirmenci-ve-tilki:4	eskêri; e̱skéri; Eskêri; E̱skéri; e̱skéri	eskeri	army	ali-agha-ladi-kelhani:a01_l09:5 eskêri = army | ali-agha-ladi-kelhani:a02_l08:9 eskêri = army | ali-agha-ladi-kelhani:a03_l06:9 eskêri = army	needs_review	not_reviewed
begi	28	2	kauge-nyerib-u-hyeni:25; gespraech-mit-hassan:3	begi; bé̱gi; bé̱gi,; bé̱gi; bé̱gi.	begi	Beg, title; Beg	gespraech-mit-hassan:h03_l10:9 begi = Beg | gespraech-mit-hassan:h03_l11:7 begi = Beg | gespraech-mit-hassan:h03_l15:7 begi = Beg	needs_review	not_reviewed
cenyay	22	3	uc-kardes-masali:13; goin-puhu-kusunun-hikayesi:8; kauge-nyerib-u-hyeni:1	cênyay; Cênyay; d̮éniai; D̮éniai; d̮éniai	deniai	woman; wife	goin-puhu-kusunun-hikayesi:g01_l01:4 cênyay = woman | goin-puhu-kusunun-hikayesi:g01_l02:2 Cênyay = woman | goin-puhu-kusunun-hikayesi:g02_l04:5 cênyay = woman	needs_review	not_reviewed
pasay	20	1	degirmenci-ve-tilki:20	paşay; pašai; Paşay; pašaí; Pašaí	pasai	pasha	degirmenci-ve-tilki:mf02_l10:5 paşay = pasha | degirmenci-ve-tilki:mf02_l12:7 Paşay = pasha | degirmenci-ve-tilki:mf02_l13:6 paşay = pasha	needs_review	not_reviewed
kagit	17	1	uc-kardes-masali:17	kağit; kaγít	kagit		uc-kardes-masali:tb03_l01:5 kağit | uc-kardes-masali:tb03_l03:8 kağit | uc-kardes-masali:tb03_l04:6 kağit	needs_review	not_reviewed
bi	16	6	uc-kardes-masali:5; goin-puhu-kusunun-hikayesi:4; kauge-nyerib-u-hyeni:4; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	bi; bī; bī,; bi,; bı	bi	was; to	ali-agha-ladi-kelhani:a02_l09:5 bi = to | degirmenci-ve-tilki:mf01_l01:1 bi = to | goin-puhu-kusunun-hikayesi:g01_l01:6 bi = was	needs_review	not_reviewed
het	14	5	uc-kardes-masali:7; degirmenci-ve-tilki:3; ali-agha-ladi-kelhani:2; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1	'hêt; 'het; h̔ēt,; h̔et,; h̔et.	het	side; to	ali-agha-ladi-kelhani:a02_l08:2 'hêt = side | ali-agha-ladi-kelhani:a02_l09:11 'het = side | degirmenci-ve-tilki:mf02_l10:7 'hêt = to	needs_review	not_reviewed
gelanke	14	3	uc-kardes-masali:9; kauge-nyerib-u-sivani:4; ali-agha-ladi-kelhani:1	gêlankê; gelā́ṅke; gelā́ṅke; gelāṅke; gelānke	gelanke	occasion	ali-agha-ladi-kelhani:a03_l12:5 gêlankê = occasion | kauge-nyerib-u-sivani:s03_l12:7 gêlankê = occasion | kauge-nyerib-u-sivani:s04_l07:3 gêlankê = occasion	needs_review	not_reviewed
namey	11	4	uc-kardes-masali:5; gespraech-mit-hassan:4; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1	namêy; Namêy; nameí; Nāmeí; Nameí	namei; nam	name; EZ/GEN	ali-agha-ladi-kelhani:a01_l01:7 Namêy = name | degirmenci-ve-tilki:mf03_l06:2 namêy = name | gespraech-mit-hassan:h01_l03:0 Namêy = name; EZ/GEN	needs_review	not_reviewed
pasa	11	1	degirmenci-ve-tilki:11	paşa; pašá; Paşa; Pašá; pašá,	pasa	pasha	degirmenci-ve-tilki:mf03_l03:9 paşa = pasha | degirmenci-ve-tilki:mf03_l08:10 paşa = pasha | degirmenci-ve-tilki:mf03_l16:9 Paşa = pasha	needs_review	not_reviewed
tera	10	5	kauge-nyerib-u-hyeni:4; goin-puhu-kusunun-hikayesi:3; degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	têra; terá; terá; téra; téra	tera	from; with; off	degirmenci-ve-tilki:mf04_l13:7 têra = from | goin-puhu-kusunun-hikayesi:g01_l02:0 têra = with | goin-puhu-kusunun-hikayesi:g03_l12:5 têra = with	needs_review	not_reviewed
de	9	3	uc-kardes-masali:6; degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:1	dê; de,; de; de.; dé	de	in	degirmenci-ve-tilki:mf02_l04:1 dê = in | degirmenci-ve-tilki:mf02_l07:9 dê = in | goin-puhu-kusunun-hikayesi:g03_l07:0 dê = in	needs_review	not_reviewed
emsoe	9	3	uc-kardes-masali:5; kauge-nyerib-u-hyeni:3; kauge-nyerib-u-sivani:1	emşoê; é̱mšoe; ḗ̱mšoe; é̱mšoe	emsoe	tonight	kauge-nyerib-u-hyeni:h04_l03:5 emşoê = tonight | kauge-nyerib-u-hyeni:h04_l04:0 emşoê = tonight | kauge-nyerib-u-hyeni:h04_l09:0 emşoê = tonight	needs_review	not_reviewed
na	9	3	uc-kardes-masali:6; kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1	na; nā; nā.; nā.; na,	na	ended; not	kauge-nyerib-u-hyeni:h05_l03:7 na = not | kauge-nyerib-u-hyeni:h09_l10:10 na = not | kauge-nyerib-u-sivani:s06_l04:4 na = ended	needs_review	not_reviewed
