lemma_key	suggested_action	suggested_headword	suggested_gloss_en	suggested_gloss_tr	rationale	token_count	text_count	text_counts	lemma_hints	zazaki_variants	lerch_variants	context_gloss_hints	related_glossary_hits	example_ref	example_token_zazaki	example_token_lerch	example_line_zazaki	example_line_lerch	review_status	reviewer_note
eskeri	likely_add_or_merge	eskeri	army, soldiers		Frequent text-attested form with a stable context gloss and no current exact glossary match.	68	4	kauge-nyerib-u-hyeni:38; kauge-nyerib-u-sivani:21; degirmenci-ve-tilki:5; ali-agha-ladi-kelhani:4	eskeri	eskêri; Eskêri; eskêrira; Êskêri	e̱skéri; E̱skéri; e̱skéri; E̱skéri; e̱skérira; E̱sḱéri; Ē̱skéri; Eskéri	army; soldiers; RECIP		ali-agha-ladi-kelhani:a01_l09:5	eskêri	e̱skéri	şawê venga êskêrê xoê di, eskêri dawang wa pyêrû bêrû pyêser,	šaú’e vé̱ṅga eskére χóe di, e̱skéri daú’āṅ wa pyéru béru pyesé̱r,	needs_human_review	
deniai	likely_add_or_merge	deniai	woman, wife		Frequent text-attested form with a stable context gloss and no current exact glossary match.	23	3	uc-kardes-masali:14; goin-puhu-kusunun-hikayesi:8; kauge-nyerib-u-hyeni:1	deniai	cênyay; Cênyay; dênyay	d̮éniai; D̮éniai; d̮éniai; D̮éniai; d̮éniāi; déniai	woman; wife		goin-puhu-kusunun-hikayesi:g01_l01:4	cênyay	d̮éniai	Zêmanê veryê yaw mırdaw cênyay xoê bi, yaw kêynaw yaw lac	Zemā́ne ve̱ríe yau mí̥rdau d̮éniai χóe bī, yau keínau yau lād̮	needs_human_review	
pasai	likely_add_or_merge	pasai	pasha, pasha title		Frequent text-attested form with a stable context gloss and no current exact glossary match.	20	1	degirmenci-ve-tilki:20	pasai	paşay; Paşay	pašai; pašaí; Pašaí; Pašai	pasha		degirmenci-ve-tilki:mf02_l10:5	paşay	pašai	Lûê weriştê, şyê Mısr, şi paşay Mısr 'hêt, temênê kêrd. Pa-	Lú’e we̱ríšte, šíe Mi̥sr, šī pašai Mí̥sr h̔et, té̱mene kerd. Pa-	needs_human_review	
tinu	likely_merge_existing	tinu	there is not / does not exist		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	18	7	kauge-nyerib-u-hyeni:10; goin-puhu-kusunun-hikayesi:2; uc-kardes-masali:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; gespraech-mit-hassan:1; kauge-nyerib-u-sivani:1	tinu	çinyû; çinû; çınû; çinyu	t̮ínu,; t̮íńu.; t̮ínu.; t̮íńu.; t̮íńu,; t̮íńu,; t̮í̥nu; t̮í̥nu,	there is none; there is not; is not; does not exist	tihü [lerch_glossary_p206_r0222:entry]: ist nicht, 55.12-13. Vgl. Krm. tune,	ali-agha-ladi-kelhani:a03_l02:8	çinyu	t̮íńu,	ma mebêrê, tê xaini, bawki mê serêdê aqıl çinyû, rocêy ramazanyû,	mā mé̱bere, te χa’íni, baúki me sé̱rede áqi̥l t̮íńu, rṓd̮ei ramazányu,	needs_human_review	
kagit	likely_add_or_merge	kagit	paper, letter		Frequent text-attested form with a stable context gloss and no current exact glossary match.	17	1	uc-kardes-masali:17	kagit	kağit	kaγít			uc-kardes-masali:tb03_l01:5	kağit	kaγít	maci yêri. Dyaw werişt, yaw kağit noşt, da 'Hasanêkira, va kê:	mā́d̮i yẹ̄́rí. D́au we̱ríšt, yau kaγít no̤št, dā H̔asanékira, vā ke:	needs_human_review	
het	likely_add_or_merge	het	side, direction		Frequent text-attested form with a stable context gloss and no current exact glossary match.	14	5	uc-kardes-masali:7; degirmenci-ve-tilki:3; ali-agha-ladi-kelhani:2; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1	het	'hêt; 'het	h̔ēt,; h̔et,; h̔et.; h̔e̱t,; h̔e̱t; h̔ēt.; h̔e̱t.	side; to		ali-agha-ladi-kelhani:a02_l08:2	'hêt	h̔ēt.	Qasim ağa 'hêt. Qasim ağa werişt bê aspar, kawta eskêri vêr,	Qasím aγá h̔ēt. Qasím aγá we̱ríšt be aspā́r, kaúta e̱skéri ver,	needs_human_review	
gelanke	likely_merge_existing	gelanke	occasion, time/event		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	14	3	uc-kardes-masali:9; kauge-nyerib-u-sivani:4; ali-agha-ladi-kelhani:1	gelanke	gêlankê	gelā́ṅke; gelā́ṅke; gelāṅke; gelānke	occasion	gelähke [lerch_glossary_p204_r0182:entry]: Mal. Ön’a gelähke, dieses Mal.	ali-agha-ladi-kelhani:a03_l12:5	gêlankê	gelā́ṅke	şyêri, ez serêy twê ena gêlankê wêna. A'hmêdi veng da va kê:	šyẹ̄́ri, e̱z sé̱rei túe ḗ̱n’a gelā́ṅke wén’a. Ah̔médi ve̱ṅg dā vā ke:	needs_human_review	
gai	likely_merge_existing	gai	ox		Related Lerch glossary hit(s) exist; review as a variant, inflected form, or child entry before adding a new headword.	11	1	uc-kardes-masali:11	gai	gay	gai; gaí	ox	ga [lerch_glossary_p204_r0176:entry]: ox, bullock	uc-kardes-masali:tb03_l09:8	gay	gai	noşt, ekê enoê merdüm enoê kağit anû kêyê, gay bwêri pilaw	no̤št, é̱ke ḗ̱n’oe me̱rdṳ́m ḗ̱n’oe kaγít ā́nu keíye, gai búeri pilaú	needs_human_review	
pasa	likely_add_or_merge	pasa	pasha		Frequent text-attested form with a stable context gloss and no current exact glossary match.	11	1	degirmenci-ve-tilki:11	pasa	paşa; Paşa	pašá; Pašá; pašá,	pasha		degirmenci-ve-tilki:mf03_l03:9	paşa	pašá	lingê, mê enoê dest tepişt awkêra vecyaya tebêr, çêmçêqû paşa	líṅge, me ḗ̱n’oe de̱st te̱píšt aúkera ve̱d̮iáya te̱bér, t̮emt̮equ pašá	needs_human_review	
namei	likely_add_or_merge	namei	name		Frequent text-attested form with a stable context gloss and no current exact glossary match.	9	4	uc-kardes-masali:5; gespraech-mit-hassan:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1	namei	namêy; Namêy	nameí; Nāmeí; Nameí; nāmeí	name		ali-agha-ladi-kelhani:a01_l01:7	Namêy	Nameí	Ali ağa laci Kêlhani mirêy na'hêy Karbegani. Namêy daway	Áli aγá lā́d̮i Kelháni mírei nah̔eí Karbe̱gā́ni. Nameí daú’ai	needs_human_review	
