priority	issues	entry_id	entry_display	entry_search	parent	parent_search	entry_type	entry_review_status	definition_en_review_status	definition_tr_source	definition_de	definition_en	definition_tr	raw_headword	source_page	source_row_idx	suggested_next_step
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p206_r0225:entry	<Jau	jau			word	ocr_extracted			Gerste. Vgl. Krm. de.			<Jau	206	225	Check source scan/OCR before publishing.
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p216_r0485:entry	byßri = byäre	byssri byare			phrase	ocr_extracted			79.8. «.			byßri = byäre	216	485	Check source scan/OCR before publishing.
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p203_r0147:entry	keif = Krm. keif	keif krm keif			phrase	ocr_extracted						keif = Krm. keif	203	147	Check source scan/OCR before publishing.
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p202_r0115:entry	qaländik = tiirk. acJ>	qalandik tiirk acj			phrase	ocr_extracted			Rabe,			qaländik = tiirk. acJ>	202	115	Check source scan/OCR before publishing.
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p211_r0379:entry	set = se	set se			phrase	ocr_extracted			hundert,			set = se	211	379	Check source scan/OCR before publishing.
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p211_r0387:entry	s§re	s re			word	ocr_extracted			Kopf,			s§re	211	387	Check source scan/OCR before publishing.
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p219_r0584:entry	vil’e = Krm.gulilik	vile krm gulilik			phrase	ocr_extracted			Blümchen,			vil’e = Krm.gulilik	219	584	Check source scan/OCR before publishing.
1	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; suspicious_headword_shape	lerch_glossary_p219_r0585:entry	vydn’a = vidn’a	vydna vidna			phrase	ocr_extracted			s. y6n'a. vydne = vidn’e, komm, 74. io. way6r, Herr. mäle yöe bye way6r ndkeri, (dass) sie ihre Habe nicht ohne Herr (Schutz) lassen, 72.11-12. tau tüeri wdyerei iiekdn’u, Keiner übt über dich Herr- schaft, 53.11.			vydn’a = vidn’a	219	585	Check source scan/OCR before publishing.
1	suspicious_headword_shape	lerch_glossary_p200_r0096:entry	hišin	hisin	xişn	xisn	word	qa_reviewed	reviewed_manual	reviewed_qa	dick?	thick / strong	kalın / güçlü	hi§in	200	96	Check source scan/OCR before publishing.
1	not_qa_reviewed; suspicious_headword_shape; parented_but_needs_review	lerch_glossary_p218_r0549:entry	va$	va	vaş	vas	word	headword_parented	matched_headword	matched_dezd_headword	Gras. vddi beng = Krm. dari beng, Terpentiubaum.	grass, weed	ot	va$	218	549	Check source scan/OCR before publishing.
2	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish; likely_name_or_label	lerch_glossary_p197_r0006:entry	Ahmed	ahmed			word	ocr_extracted			Personenname,			Ahmed	197	6	Decide whether this belongs in the public glossary or in a names/places/context index.
